French,English
partie,part
police,police
pensais,thought
genre,kind
mois,month
frère,brother
laisse,leash
eux,them
ville,city
devrait,should
bébé,baby
longtemps,long time
vont,will
aucune,any
place,square
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
main,hand
côté,side
pouvoir,power
matin,morning
tellement,so much
venu,came
suite,after
venez,come
chambre,bedroom
mis,placed
droit,law
enfin,finally
espère,hope
eau,water
attendez,Wait
boulot,job
arrêter,Stop
donne,given
loin,far
aura,will have
filles,girls
jouer,to play
